date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:47:08	388574/388574	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:08a2ea62a2b4452ab40d29324c000e3e%22	https://www.daisylife.in/pages/conscious-living	C:/Users/Lenovo/Desktop/Web%20Design/HTML_FOLDER/KL/www.daisylife.in/pages/conscious-living.html	(from )
14:47:12	554/554	---MCZ	200	added ('OK')	text/plain	etag:W/%22cacheable:82979c27cb2235997edd9a5a9b058aef%22	https://www.daisylife.in/robots.txt		(from )
14:47:14	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2023%20Jun%202024%2009:17:13%20GMT	http://www.daisylife.in/cdn/shop/t/90/assets/theme.css?v=108612119256666700851697020363	C:/Users/Lenovo/Desktop/Web%20Design/HTML_FOLDER/KL/www.daisylife.in/cdn/shop/t/90/assets/theme.175de.delayed	(from https://www.daisylife.in/pages/conscious-living)
14:47:17	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2023%20Jun%202024%2009:17:16%20GMT	http://www.daisylife.in/cdn/shop/t/90/assets/chunk.css?v=23559435247163610601697020281	C:/Users/Lenovo/Desktop/Web%20Design/HTML_FOLDER/KL/www.daisylife.in/cdn/shop/t/90/assets/chunkda66.css	(from https://www.daisylife.in/pages/conscious-living)
14:47:17	107828/107828	---MCZ	200	added ('OK')	text/css	date:Fri,%2003%20May%202024%2015:35:09%20GMT	https://www.daisylife.in/cdn/shop/t/90/assets/theme.css?v=108612119256666700851697020363	C:/Users/Lenovo/Desktop/Web%20Design/HTML_FOLDER/KL/www.daisylife.in/cdn/shop/t/90/assets/theme75de.css	(from https://www.daisylife.in/pages/conscious-living)
14:47:20	69027/69027	---MCZ	200	added ('OK')	text/css	date:Mon,%2013%20May%202024%2022:49:46%20GMT	https://www.daisylife.in/cdn/shop/t/90/assets/chunk.css?v=23559435247163610601697020281	C:/Users/Lenovo/Desktop/Web%20Design/HTML_FOLDER/KL/www.daisylife.in/cdn/shop/t/90/assets/chunkda66.css	(from https://www.daisylife.in/pages/conscious-living)
14:47:20	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2023%20Jun%202024%2009:17:19%20GMT	http://www.daisylife.in/cdn/shop/t/90/assets/vendor.min.js?v=33890960766773293201697020366	C:/Users/Lenovo/Desktop/Web%20Design/HTML_FOLDER/KL/www.daisylife.in/cdn/shop/t/90/assets/vendor.min1d7e.js	(from https://www.daisylife.in/pages/conscious-living)
14:47:24	95984/95984	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2003%20May%202024%2023:16:06%20GMT	https://www.daisylife.in/cdn/shop/t/90/assets/vendor.min.js?v=33890960766773293201697020366	C:/Users/Lenovo/Desktop/Web%20Design/HTML_FOLDER/KL/www.daisylife.in/cdn/shop/t/90/assets/vendor.min1d7e.js	(from https://www.daisylife.in/pages/conscious-living)
14:47:24	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2023%20Jun%202024%2009:17:23%20GMT	http://www.daisylife.in/cdn/shop/t/90/assets/app.min.js?v=115749925404019333281697020271	C:/Users/Lenovo/Desktop/Web%20Design/HTML_FOLDER/KL/www.daisylife.in/cdn/shop/t/90/assets/app.min970b.js	(from https://www.daisylife.in/pages/conscious-living)
14:47:27	95305/95305	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2013%20May%202024%2022:49:46%20GMT	https://www.daisylife.in/cdn/shop/t/90/assets/app.min.js?v=115749925404019333281697020271	C:/Users/Lenovo/Desktop/Web%20Design/HTML_FOLDER/KL/www.daisylife.in/cdn/shop/t/90/assets/app.min970b.js	(from https://www.daisylife.in/pages/conscious-living)
14:47:27	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2023%20Jun%202024%2009:17:26%20GMT	http://www.daisylife.in/cdn/shop/t/90/assets/foxkit-app.min.js?v=27037143525546052611697020306	C:/Users/Lenovo/Desktop/Web%20Design/HTML_FOLDER/KL/www.daisylife.in/cdn/shop/t/90/assets/foxkit-app.min274f.js	(from https://www.daisylife.in/pages/conscious-living)
14:47:30	55435/55435	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2003%20May%202024%2022:23:34%20GMT	https://www.daisylife.in/cdn/shop/t/90/assets/foxkit-app.min.js?v=27037143525546052611697020306	C:/Users/Lenovo/Desktop/Web%20Design/HTML_FOLDER/KL/www.daisylife.in/cdn/shop/t/90/assets/foxkit-app.min274f.js	(from https://www.daisylife.in/pages/conscious-living)
14:47:30	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2023%20Jun%202024%2009:17:29%20GMT	http://www.daisylife.in/cdn/shop/files/DaisyLife_2.png?crop=center&height=32&v=1639036987&width=32	C:/Users/Lenovo/Desktop/Web%20Design/HTML_FOLDER/KL/www.daisylife.in/cdn/shop/files/DaisyLife_237a6.png	(from https://www.daisylife.in/pages/conscious-living)
14:47:32	1277/1277	---M--	200	added ('OK')	image/png	date:Mon,%2013%20May%202024%2020:31:09%20GMT	https://www.daisylife.in/cdn/shop/files/DaisyLife_2.png?crop=center&height=32&v=1639036987&width=32	C:/Users/Lenovo/Desktop/Web%20Design/HTML_FOLDER/KL/www.daisylife.in/cdn/shop/files/DaisyLife_237a6.png	(from https://www.daisylife.in/pages/conscious-living)
14:47:33	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2023%20Jun%202024%2009:17:32%20GMT	http://www.daisylife.in/cdn/shop/files/Untitled_design_4_2361a656-19c1-4a2e-88e8-f6a8eee91a3b.png?v=1677218945	C:/Users/Lenovo/Desktop/Web%20Design/HTML_FOLDER/KL/www.daisylife.in/cdn/shop/files/Untitled_design_4_2361a656-19c1-4a2e-88e8-f6a8eee91a3be8da.png	(from https://www.daisylife.in/pages/conscious-living)
14:47:34	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2023%20Jun%202024%2009:17:33%20GMT	http://www.daisylife.in/cdn/shop/t/90/assets/vendor.css?v=16535328183442033321697020365	C:/Users/Lenovo/Desktop/Web%20Design/HTML_FOLDER/KL/www.daisylife.in/cdn/shop/t/90/assets/vendord305.css	(from https://www.daisylife.in/pages/conscious-living)
14:47:34	68142/68142	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Jun%202024%2007:29:44%20GMT	https://www.daisylife.in/cdn/shop/files/Untitled_design_4_2361a656-19c1-4a2e-88e8-f6a8eee91a3b.png?v=1677218945	C:/Users/Lenovo/Desktop/Web%20Design/HTML_FOLDER/KL/www.daisylife.in/cdn/shop/files/Untitled_design_4_2361a656-19c1-4a2e-88e8-f6a8eee91a3be8da.png	(from https://www.daisylife.in/pages/conscious-living)
14:47:36	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2023%20Jun%202024%2009:17:35%20GMT	http://www.daisylife.in/cdn/shop/t/90/assets/custom.css?v=105997007003712207781697020407	C:/Users/Lenovo/Desktop/Web%20Design/HTML_FOLDER/KL/www.daisylife.in/cdn/shop/t/90/assets/customd0cc.css	(from https://www.daisylife.in/pages/conscious-living)
